ID,Name_Lang_enUS,Name1_Lang_enUS
1,Private %s,Private %s
2,Corporal %s,Corporal %s
3,Sergeant %s,Sergeant %s
4,Master Sergeant %s,Master Sergeant %s
5,Sergeant Major %s,Sergeant Major %s
6,Knight %s,Knight %s
7,Knight-Lieutenant %s,Knight-Lieutenant %s
8,Knight-Captain %s,Knight-Captain %s
9,Knight-Champion %s,Knight-Champion %s
10,Lieutenant Commander %s,Lieutenant Commander %s
11,Commander %s,Commander %s
12,Marshal %s,Marshal %s
13,Field Marshal %s,Field Marshal %s
14,Grand Marshal %s,Grand Marshal %s
15,Scout %s,Scout %s
16,Grunt %s,Grunt %s
17,Sergeant %s,Sergeant %s
18,Senior Sergeant %s,Senior Sergeant %s
19,First Sergeant %s,First Sergeant %s
20,Stone Guard %s,Stone Guard %s
21,Blood Guard %s,Blood Guard %s
22,Legionnaire %s,Legionnaire %s
23,Centurion %s,Centurion %s
24,Champion %s,Champion %s
25,Lieutenant General %s,Lieutenant General %s
26,General %s,General %s
27,Warlord %s,Warlord %s
28,High Warlord %s,High Warlord %s
42,Gladiator %s,Gladiator %s
43,Duelist %s,Duelist %s
44,Rival %s,Rival %s
45,Challenger %s,Challenger %s
46,Scarab Lord %s,Scarab Lord %s
47,Conqueror %s,Conqueror %s
48,Justicar %s,Justicar %s
53,"%s, Champion of the Naaru","%s, Champion of the Naaru"
62,Merciless Gladiator %s,Merciless Gladiator %s
63,%s of the Shattered Sun,%s of the Shattered Sun
64,"%s, Hand of A'dal","%s, Hand of A'dal"
71,Vengeful Gladiator %s,Vengeful Gladiator %s
72,Battlemaster %s,Battlemaster %s
74,Elder %s,Elder %s
75,Flame Warden %s,Flame Warden %s
76,Flame Keeper %s,Flame Keeper %s
77,%s the Exalted,%s the Exalted
78,%s the Explorer,%s the Explorer
79,%s the Diplomat,%s the Diplomat
80,Brutal Gladiator %s,Brutal Gladiator %s
81,%s the Seeker,%s the Seeker
82,Arena Master %s,Arena Master %s
83,Salty %s,Salty %s
84,Chef %s,Chef %s
85,%s the Supreme,%s the Supreme
86,%s of the Ten Storms,%s of the Ten Storms
87,%s of the Emerald Dream,%s of the Emerald Dream
89,Prophet %s,Prophet %s
90,%s the Malefic,%s the Malefic
91,Stalker %s,Stalker %s
92,%s of the Ebon Blade,%s of the Ebon Blade
93,Archmage %s,Archmage %s
94,Warbringer %s,Warbringer %s
95,Assassin %s,Assassin %s
96,Grand Master Alchemist %s,Grand Master Alchemist %s
97,Grand Master Blacksmith %s,Grand Master Blacksmith %s
98,Iron Chef %s,Iron Chef %s
99,Grand Master Enchanter %s,Grand Master Enchanter %s
100,Grand Master Engineer %s,Grand Master Engineer %s
101,Doctor %s,Doctor %s
102,Grand Master Angler %s,Grand Master Angler %s
103,Grand Master Herbalist %s,Grand Master Herbalist %s
104,Grand Master Scribe %s,Grand Master Scribe %s
105,Grand Master Jewelcrafter %s,Grand Master Jewelcrafter %s
106,Grand Master Leatherworker %s,Grand Master Leatherworker %s
107,Grand Master Miner %s,Grand Master Miner %s
108,Grand Master Skinner %s,Grand Master Skinner %s
109,Grand Master Tailor %s,Grand Master Tailor %s
110,%s of Quel'Thalas,%s of Quel'Thalas
111,%s of Argus,%s of Argus
112,%s of Khaz Modan,%s of Khaz Modan
113,%s of Gnomeregan,%s of Gnomeregan
114,%s the Lion Hearted,%s the Lion Hearted
115,"%s, Champion of Elune","%s, Champion of Elune"
116,"%s, Hero of Orgrimmar","%s, Hero of Orgrimmar"
117,Plainsrunner %s,Plainsrunner %s
118,%s of the Darkspear,%s of the Darkspear
119,%s the Forsaken,%s the Forsaken
120,%s the Magic Seeker,%s the Magic Seeker
121,Twilight Vanquisher %s,Twilight Vanquisher %s
122,"%s, Conqueror of Naxxramas","%s, Conqueror of Naxxramas"
123,"%s, Hero of Northrend","%s, Hero of Northrend"
124,%s the Hallowed,%s the Hallowed
125,Loremaster %s,Loremaster %s
126,%s of the Alliance,%s of the Alliance
127,%s of the Horde,%s of the Horde
128,%s the Flawless Victor,%s the Flawless Victor
129,"%s, Champion of the Frozen Wastes","%s, Champion of the Frozen Wastes"
130,Ambassador %s,Ambassador %s
131,%s the Argent Champion,%s the Argent Champion
132,"%s, Guardian of Cenarius","%s, Guardian of Cenarius"
133,Brewmaster %s,Brewmaster %s
134,Merrymaker %s,Merrymaker %s
135,%s the Love Fool,%s the Love Fool
137,Matron %s,Matron %s
138,Patron %s,Patron %s
139,Obsidian Slayer %s,Obsidian Slayer %s
140,%s of the Nightfall,%s of the Nightfall
141,%s the Immortal,%s the Immortal
142,%s the Undying,%s the Undying
143,%s Jenkins,%s Jenkins
144,Bloodsail Admiral %s,Bloodsail Admiral %s
145,%s the Insane,%s the Insane
146,%s of the Exodar,%s of the Exodar
147,%s of Darnassus,%s of Darnassus
148,%s of Ironforge,%s of Ironforge
149,%s of Stormwind,%s of Stormwind
150,%s of Orgrimmar,%s of Orgrimmar
151,%s of Sen'jin,%s of Sen'jin
152,%s of Silvermoon,%s of Silvermoon
153,%s of Thunder Bluff,%s of Thunder Bluff
154,%s of the Undercity,%s of the Undercity
155,%s the Noble,%s the Noble
156,Crusader %s,Crusader %s
157,Deadly Gladiator %s,Deadly Gladiator %s
158,"%s, Death's Demise","%s, Death's Demise"
159,%s the Celestial Defender,%s the Celestial Defender
160,"%s, Conqueror of Ulduar","%s, Conqueror of Ulduar"
161,"%s, Champion of Ulduar","%s, Champion of Ulduar"
163,Vanquisher %s,Vanquisher %s
164,Starcaller %s,Starcaller %s
165,%s the Astral Walker,%s the Astral Walker
166,"%s, Herald of the Titans","%s, Herald of the Titans"
167,Furious Gladiator %s,Furious Gladiator %s
168,%s the Pilgrim,%s the Pilgrim
169,Relentless Gladiator %s,Relentless Gladiator %s
170,Grand Crusader %s,Grand Crusader %s
171,%s the Argent Defender,%s the Argent Defender
172,%s the Patient,%s the Patient
173,%s the Light of Dawn,%s the Light of Dawn
174,"%s, Bane of the Fallen King","%s, Bane of the Fallen King"
